measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,1998,126619.66917714765,142520.2877601583,110807.86813122357
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1994,26688.12551722912,29620.489539789785,23996.43367077475
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1994,10417.306766481552,11943.62314737039,9020.187515248701
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2003,1979291.711262918,2003971.6543052997,1955593.9015966083
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2003,547886.69982211,556402.9565598121,540106.4871282339
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2003,1774654.7773310996,1801213.2093263546,1748980.074066123
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2003,625045.9443199892,632919.6065134295,616316.1103815202
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2000,385650.8031478719,415480.72772469383,356360.57387100556
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2000,165899.31077415313,185181.38712740928,144771.68596642098
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2005,1989849.7245792083,2027159.6921822224,1937796.6096134891
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2005,537708.365602042,545583.5189216029,529736.719936082
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,1999,329563.5102248508,354417.6847811675,303668.82198399754
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,1999,140531.43192511893,156930.00132312154,123342.40847140815
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2005,2878060.2330786344,2933736.780674565,2817158.779193314
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2005,1003780.3853058629,1017215.346228415,990289.5561757102
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2002,1912155.5739905222,1937037.40787549,1886230.358655509
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2002,530528.307620115,539371.8693861834,522653.1387307195
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2002,1490717.4495623384,1514066.3551623712,1470778.454586085
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2002,517935.0528853475,525159.8656859467,510024.990097218
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2004,1947032.7014184028,1972794.1804534486,1921172.502006893
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2004,529601.9459911047,536985.2130231581,522487.10947981104
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1995,25811.039297683623,28569.226322559643,23217.022671294682
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1995,10127.271021210228,11574.214283554276,8814.171950727794
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2004,2097134.6074760226,2131834.6565600815,2065154.6284879397
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2004,718883.9541729648,730961.8132081194,708562.7104272164
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2007,1400330.7850190657,1426115.2544701456,1381822.0604921828
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2007,376418.71767468966,380974.4699895604,371509.2428275211
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1996,24758.341346422218,27465.05425511458,22345.692055505424
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1996,9800.989421749471,11197.405156198152,8554.745911275928
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,2001,441930.9345096223,476732.91889283137,407706.67282345257
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,2001,196440.8929640855,219156.34855800046,171945.59531024075
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2006,1672135.032422937,1693799.853391265,1653231.8381889062
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2006,446132.421098152,451402.2201747522,440901.291465306
